-37.069,82.604,-40.718,-0.12422,-0.16851,-0.69178
1.2255,42.699,-68.812,0.024434,0.41976,0.082363
21.644,-91.33,-67.136,1.1195,0.28122,0.28307
52.21,-96.466,23.523,0.15384,-0.044627,-0.014435
-35.469,-34.702,-33.304,-1.6523,-1.6271,-1.2477
-74.366,-1.8572,74.161,-0.31046,-0.12422,0.008864
-130.6,-48.109,-47.094,-1.5801,-1.5543,-0.82865
-88.711,25.751,40.588,-0.0051747,0.048541,0.057685
33.517,-0.015539,16.84,-1.2167,0.86236,0.4746
25.879,-73.463,51.638,0.16851,-0.47891,0.079808
0.82231,-46.365,-111.77,0.69248,-0.10474,-0.088533
-92.872,17.104,-17.151,-0.20262,0.46821,-0.19185
56.853,-92.966,15.033,0.14982,-0.055679,0.0013124
-46.164,-32.196,82.581,-0.75386,-0.1065,-0.18627
32.772,-0.015539,16.467,1.2685,-0.92273,-0.37968
-0.015539,29.447,14.805,0.017247,1.07,-1.139
-58.494,-1.2094,81.198,-0.57838,-0.25241,-0.37368
-23.354,-0.10972,-94.281,-0.14961,0.53976,-0.15925
15.481,-0.015539,30.799,-1.0873,0.87098,0.19847
46.15,32.754,-72.104,0.070944,0.3015,-0.19514
-58.494,-1.2094,81.198,-0.57838,-0.25241,-0.37368
-89.247,-90.628,-45.688,-0.43583,-1.4364,-1.4336
14.598,-93.461,-73.44,1.148,0.32557,0.32745
31.979,16.071,-0.015539,-1.2081,0.43145,0.90548
31.762,15.962,-0.015539,-0.9751,1.1736,-0.051742
21.588,56.241,-81.366,0.37248,0.72717,0.10643
-0.015539,17.112,34.061,0.22421,-1.1908,0.89744
63.362,39.578,-97.146,0.22048,-0.083086,-0.076884
-37.943,-74.959,-26.598,-0.6376,-0.59648,0.37583
-83.726,50.558,26.82,-0.41683,0.23059,-0.062112
-0.015539,16.537,32.911,-1.1556,0.29339,0.86292
16.343,32.523,-0.015539,-1.1736,0.96647,0.15523
-45.807,0.50339,-46.976,0.038209,0.053892,-0.48475
-19.376,-31.009,46.801,-13.683,5.6037,4.3219
-42.402,-60.801,-164.82,0.67221,-0.096423,-0.058544
53.132,-82.027,26.829,-0.45229,-1.0731,0.14189
16.032,-0.015539,31.902,0.73347,0.6209,-1.2167
72.626,-87.363,46.82,-0.087452,-0.083042,0.24855
-71.779,-72.248,-168.31,-1.7982,-0.85087,-1.8163
-61.717,0.099132,-32.684,-0.14074,0.029543,-0.59885
16.716,33.269,-0.015539,1.2081,-0.79389,-0.25008
-84.532,-32.394,-33.339,-1.8002,-0.90541,-1.1804
-6.3547,72.253,-30.831,0.35714,0.34719,-0.45841
11.083,-82.919,52.338,0.049878,-0.017913,0.049479
47.617,-92.871,0.4994,0.31895,0.066302,0.075038
28.018,14.09,-0.015539,1.2599,-0.75936,-0.57778
-85.197,15.594,47.834,-0.0090769,0.045337,0.053226
-28.735,-28.397,-136.78,-1.8333,-1.8789,-1.8799
