Ua(V),Ub(V),Uc(V), Ia(A), Ib(A),   Ic(A)
-81.602,125.5,-41.936,-212.73,77.808,99.947
23.331,-125.09,101.02,125.87,-112.69,-47.431
6.7082,-115.3,109.16,127.46,-132.68,-23.266
-55.472,-62.289,118.17,86.979,-222.51,96.532
59.799,-6.7647,-60.596,109.06,68.759,-280.12
-46.062,72.65,-26.769,-205.19,241.92,-52.017
-74.573,56.708,13.473,-232.07,163.67,88.047
-61.194,120.66,-56.052,-210.37,90.444,85.603
-13.121,-58.715,68.643,60.618,-267.25,174.15
41.805,15.848,-64.227,53.056,130.93,-279.16
63.605,-70.782,2.3513,235.12,-203.43,-66.788
-52.323,-28.295,80.974,-2.0718,-198.13,165.71
62.799,-54.416,-17.922,246.25,-128.74,-141.15
-136.75,69.272,70.136,-67.998,-71.768,123.34
-123.74,54.989,69.216,-72,-73,124
95.537,-123.28,28.884,176.03,-79.067,-152.51
-20.52,-116.58,134.16,109.28,-130.75,-1.5584
42.169,-78.251,29.486,224.63,-252.33,21.151
7.2108,56.456,-64.949,-61.788,252.09,-201.91
-83.756,81.905,2.7605,-196.79,9.9787,155.86
-106.89,66.433,43.037,-148.59,-67.045,184.55
-74.793,4.4983,68.932,-164.28,-101.58,199.88
-15.55,-104.64,118.76,113.38,-135.77,-4.7361
-21.186,65.854,-43.932,-136.19,273.71,-131.14
118.98,-108.77,-14.11,103.4,-11.008,-146.15
118.98,-108.77,-14.11,103.4,-11.008,-146.15
-74.872,-2.732,71.804,-108.45,-95.771,244.18
-82.01,36.038,45.163,-207.98,41.505,172.6
111.31,-119.69,6.6928,112.91,-26.942,-136.33
69.519,-52.547,-20.91,237.36,-141.16,-134.16
13.884,-66.277,48.899,133.25,-283.47,123.69
-80.262,63.053,17.701,-184.01,-12.934,165.41
132.32,-41.801,-92.888,17.648,58.925,-138.34
-6.1407,78.811,-72.735,-188.35,185.84,-43.205
23.36,40.525,-67.898,-31.961,217.53,-246.18
-55.472,-62.289,118.17,86.979,-222.51,96.532
-16.301,-103.06,120.11,113.35,-135.69,-2.7507
53.856,-118.33,65.895,173.64,-142.46,-83.895
-64.131,66.518,-9.2366,-240.7,218.73,-28.155
124.63,-91.069,-37.522,66.658,29.677,-155.7
-12.963,-57.762,67.205,58.645,-271.29,171.01
77.868,-17.792,-60.099,209.49,42.013,-202.6
41.558,-133.9,92.727,133.93,-97.685,-73.191
70.168,-5.969,-65.515,148.24,65.568,-246.86
91.765,38.955,-131.37,-80.459,111.07,-94.41
47.16,-73.613,24.575,223.37,-244.57,19.918
11.462,107.09,-117.1,-141.38,104.77,-18.422
-16.506,-83.115,99.945,137,-211,31
-80.079,3.2349,78.428,-31.035,-183.99,183.63
93.396,-100.65,7.8613,164.14,-40.875,-180.35
30.172,109.79,-137.82,-128.3,102.14,-32.6
101.07,-122.44,18.535,117.67,-37.149,-130.23
-5.178,-67.272,65.356,126.46,-262.43,168.47
32.672,-83.349,51.91,159.53,-185.64,-21.852
69.276,-59.077,-12.581,257.72,-147.21,-90.383
56.163,-72.574,13.37,237.59,-222.29,-6.0208
-33.364,-97.953,128.71,84.494,-130.44,22.98
-30.827,68.28,-37.849,-161.75,265.08,-106.53
-79.451,21.588,56.6,-209.25,-32.342,174.89
-16.997,65.307,-48.084,-129.91,271.28,-150.4
-43.639,74.094,-31.171,-196.63,251.63,-64.36
-55.447,-61.955,119.57,92.766,-222.36,90.434
-92.351,121.96,-28.409,-212,63.687,115.09
-51.331,-32.761,78.247,-24.457,-184.15,238.02
-129.62,24.101,109.71,-23.155,-109.94,115.41
20.621,102.83,-122.36,-131.99,103.57,-27.389
-91.503,6.97,87.463,-40.883,-180.46,187.36
71.343,56.515,-128.46,-89.932,108.62,-80.299
45.167,86.018,-130.01,-99.575,101.6,-61.166
-61.811,-61.584,123.26,82.823,-223.74,99.803
60.371,37.334,-99.006,-67.504,198.82,-182.74
-44.379,133.51,-86.861,-162.42,59.063,60.717
27.627,83.721,-109.5,-165.82,206.07,-86.196
85.937,-123.9,33.75,119.57,-62.105,-104.28
-64.444,-51.386,117.33,61.955,-222.65,121.43
-80.262,63.053,17.701,-184.01,-12.934,165.41
103.91,18.123,-122.32,-52.132,99.065,-113.48
28.523,-135.62,105.35,127.85,-103.29,-61.41
-93.944,56.905,41.66,-174.62,-31.762,175.34
-125.4,57.768,69.775,-74,-71,125
-81.685,13.37,65.125,-167.26,-42.672,209.47
-90.269,-33.697,127.24,52.264,-140.97,71.659
-122.8,105.22,19.839,-121.43,-27.175,120
55.295,-129.8,74.156,133.21,-89.723,-83.617
-46.104,-40.263,77.479,12.419,-200.37,241.01
-99.953,-22.985,121.9,28.253,-132.02,84.814
41.18,-80.588,31.096,233.47,-244.28,31.214
105.18,-63.209,-40.634,117.74,44.57,-220.22
93.29,-116.87,25.767,172.79,-67.13,-162.32
93.817,-8.0144,-84.899,2.5887,164.73,-225.16
63.36,-68.919,-0.83382,240.7,-183.63,-94.153
-64.72,127.96,-61.266,-214.95,103.62,78.26
47.001,12.791,-63.332,71.687,126.45,-271.84
-87.207,107.45,-19.787,-207.27,45.012,131.47
73.263,-44.965,-33.291,214.73,-81.719,-192.55
-29.564,-81.838,113.84,117.95,-219.2,59.391
-109.75,-4.2545,111.92,1.2645,-128.3,111.21
43.029,-75.384,29.586,215.25,-251.71,33.2
-75.983,64.677,4.3403,-246,187.49,26.875
49.63,68.201,-116.39,-136.44,209.78,-120.28
-61.352,-59.883,121.52,81.004,-224.84,105.68
-81.698,40.25,40.255,-214.07,57.685,162.31
92.676,-98.476,6.4369,163.19,-41.777,-180.25
-55.026,-68.954,123.69,68.489,-136.86,46.133
61.831,-8.9815,-61.864,123.08,54.19,-274.61
78.432,-45.376,-35.149,246.65,-62.725,-151.52
-53.647,-18.087,73.537,-7.6253,-195.44,170.78
16.045,105.84,-120.9,-139.45,101.65,-19.283
44.752,26.958,-72.757,62.316,178.84,-245.06
-92.635,10.332,85.321,-41.601,-177.61,187.3
-42.973,103.35,-56.776,-204.36,159.75,5.8231
-88.52,-39.429,127.63,58.742,-141.65,66.809
-132.69,82.898,50.528,-86.074,-65.706,129.69
-0.013628,54.878,-60.483,-96.78,234.75,-217.71
67.606,-68.081,-1.6686,241.47,-184.76,-77.383
-102.14,64.888,40.127,-165.77,-46.565,180.5
41.558,-133.9,92.727,133.93,-97.685,-73.191
-79.223,46.399,26.731,-230.33,139.55,113.43
-74.847,0.38184,70.608,-125.8,-87.814,232.01
-78.434,-56.937,131.11,67.697,-140.22,53.199
-64.645,-42.465,112.45,54.633,-219.26,127.87
90.189,-92.86,4.9834,160.05,-31.344,-185.52
