Ua(V),Ub(V),Uc(V), Ia(A), Ib(A),   Ic(A)
16.342,74.418,-24.589,-0.509,-0.036128,4.8278
-72.911,-6.1231,67.074,-0.88267,-16.051,0.21377
-62.573,81.761,-19.279,-0.057777,0.25322,-0.036936
80.685,-3.3546,-22.993,0.53467,0.052824,-4.5923
-9.5115,-69.997,70.007,-16.652,-0.83853,0.25714
83.086,-33.522,-53.384,-0.13994,-0.050517,-0.28505
1.0707,4.2332,-92.817,-16.928,-0.24548,-0.32317
-3.6507,40.196,-62.408,0.48748,0.99892,-0.79981
25.858,-80.258,51.901,21.844,-0.039179,0.00094687
73.808,-16.61,-46.814,0.015215,-0.091988,-16.265
-63.658,78.843,-4.2743,-0.010092,-0.032475,17.914
-16.092,-64.377,73.852,-17.313,-0.70872,0.4028
74.174,-15.308,-45.583,-0.056192,-0.40772,-16.9
52.396,7.1218,-78.18,0.51162,-12.058,-0.93905
78.24,-34.856,-19.647,0.9462,-0.4303,8.3751
0.0011212,0.011718,-0.0146,62.533,-81.883,19.455
-51.769,78.128,18.647,-0.055573,0.46611,0.30279
-7.4074,-48.222,69.593,0.025151,-15.669,-0.055865
0.92712,-0.0084767,0.011516,56.464,-53.524,-27.676
-75.479,12.159,66.194,-0.45049,0.049802,0.12827
21.676,-74.244,26.935,0.52819,-0.96101,-4.9101
-0.15811,-0.10874,2.69,-81.047,26.876,46.959
-14.701,83.777,-17.893,-0.87916,-0.026779,6.9571
-37.121,87.121,-10.862,-1.0276,-0.19332,9.773
79.886,-54.804,-6.3138,0.877,-0.1955,12.765
-42.831,-8.3551,84.875,0.9321,11.643,0.10357
50.884,28.321,-78.631,0.53578,17.656,-0.25617
36.654,3.7592,-68.49,-1.2488,0.13844,-0.56173
76.691,-58.049,-21.648,0.33554,-0.62906,-18.181
-79.609,21.936,58.23,-0.040073,18.831,-0.0021093
50.79,-10.282,-59.878,13.053,-0.059218,0.13815
-76.989,43.438,47.602,0.49197,-0.17262,-0.38838
34.625,-67.627,6.3831,-1.7794,-0.95009,0.52522
-59.175,-16.907,79.006,-0.26119,-0.15954,0.13231
-82.749,17.106,15.214,0.97525,10.452,0.30209
9.2706,70.154,-69.893,16.373,0.83842,-0.25034
61.992,-75.444,20.767,-0.23304,0.46605,-0.16399
64.841,-72.696,-5.7534,0.43458,-0.80768,-14.15
-29.567,85.893,-14.134,-0.83112,0.02504,6.6062
-55.911,79.139,-15.998,-0.48327,-0.18664,0.098602
-2.6372,-76.925,23.633,-0.2577,-0.82291,6.8619
64.668,-76.626,-2.4735,0.12495,-0.87582,-15.481
62.94,-62.757,13.329,0.49317,-4.7476,-0.01303
-14.992,-30.672,72.726,-0.32176,3.4424,0.71919
-0.19195,-84.681,54.54,-35.222,-0.33879,-0.34534
-69.098,49.724,3.0641,-0.039968,13.096,0.021638
-29.318,-2.9612,93.558,-0.12947,-9.0196,-0.76812
-84.861,14.136,40.516,-1.1347,9.6713,-0.27019
2.5912,-66.597,48.604,-0.065353,0.11082,14.923
-0.039042,-0.051425,0.7942,-0.91392,72.443,-46.829
-4.0735,-64.458,79.018,17.071,-0.033882,-0.010185
-49.904,50.711,-21.873,0.25833,11.134,-0.43726
64.908,15.411,-74.059,0.76482,17.346,-0.2653
-51.623,-13.439,78.26,-7.0441,-0.15131,0.40976
-1.3134,0.027952,0.03661,27.375,41.125,-85.316
23.842,-77.316,60.956,-0.00090014,-0.43853,-0.18173
25.137,-76.848,25.931,0.31368,-0.83653,-6.1434
66.623,-73.261,-0.73041,-0.17262,0.3107,0.15536
-0.80337,61.539,-74.8,-14.899,0.49867,-0.90282
-24.916,86.938,-50.248,-0.20923,-0.11498,-0.024842
-66.15,72.769,-6.992,0,0.025901,-80.391
-4.7106,-72.988,64.493,-15.136,-0.86711,0.44829
50.246,-32.017,-43.733,6.6549,0.095877,-0.23006
78.92,-17.691,-51.52,0.62114,0.17052,0.11897
-33.511,-9.384,70.305,2.2781,-0.32885,0.67955
-82.221,51.937,27.042,-0.48153,0.21982,5.8876
78.49,-7.8373,-52.136,0.98824,12.264,-0.48229
-78.648,35.614,36.637,-0.14247,0.34911,18.091
-79.843,16.776,63.363,-0.43412,0.070782,0.23269
82.4,-47.038,-8.3996,-0.14651,-1.1269,9.2105
58.592,24.16,-65.49,0.26094,-0.10479,-5.1712
9.862,-9.7907,93.648,0.29304,-26.291,0.15523
3.175,-0.17876,-0.13642,5.5707,-75.971,70.33
-0.003581,-1.284,-0.014203,76.61,-47.009,-10.802
-4.3074,68.442,-43.378,-0.041624,0.0097166,4.7258
-7.1873,-71.159,75.735,-16.221,0.078585,-0.0054623
-23.71,-54.293,77.144,-18.327,-0.61297,0.30309
-37.14,71.94,-42.356,0.14119,0.12679,0.28092
48.321,-84.8,32.599,-0.14253,-0.31233,-0.032866
73.623,-16.885,-45.545,-0.0024121,-0.092194,-16.68
-76.831,66.255,11.911,0.70565,1.2474,0.10777
80.685,-22.993,-3.3546,0.53467,-4.5923,0.052824
-37.735,82.326,-40.186,-7.7335,0.46176,-0.11969
19.489,-20.463,52.671,-0.060346,-32.215,0.017267
0.03272,-0.058257,0.012951,-66.736,-16.425,81.645
63.843,-16.38,-70.33,-0.37974,-0.043155,-0.17262
34.498,-87.166,13.223,0.83464,-0.040364,-7.6369
-75.866,2.8358,64.541,-1.1582,10.852,-0.27428
-74.583,-17.651,25.393,-0.16013,-0.014643,-0.11776
0.042272,0.019843,-0.063156,-78.684,85.021,-6.4506
69.915,-11.888,-32.052,0.86822,-0.52118,2.0285
78.245,-5.0187,-55.868,0.95068,12.692,-0.45275
-41.35,50.697,-31.622,0.39165,9.2014,-0.61405
-36.985,50.888,-36.43,0.30783,8.243,-0.56411
-32.395,-31.353,80.769,-0.022294,13.173,-0.036376
-79.828,40.663,30.424,0.090852,17.812,0.57625
3.1128,-78.218,58.62,-13.945,-0.91336,0.24871
4.8219,-79.055,24.47,-0.27299,-0.87036,8.6128
-54.96,-28.516,85.403,-0.0021129,-0.28592,-0.031923
-35.098,-43.211,82.568,-6.7558,-0.11402,0.65019
-1.0689,-67.307,53.705,0.045125,-0.048874,16.216
-8.8397,-58.994,41.846,0.49303,-0.85696,1.6893
83.174,-19.838,-48.218,-0.0058893,13.945,-0.0074957
30.393,-27.593,65.288,0.037863,-1.2201,0.1561
-64.705,72.706,5.4243,-0.42235,0.78019,14.237
48.567,-80.487,30.359,0.03689,-0.049716,21.686
2.914,81.433,-17.091,0.44879,-0.051786,5.9728
-75.361,-11.22,23.065,-0.20286,0.22524,-1.9725
-39.689,92.86,-3.6112,0.8229,0.79596,38.432
-28.295,94,-0.2929,0.72781,0.79169,32.393
46.22,-54.072,28.022,0.0045976,-6.6506,0.02242
66.849,-48.295,-2.6,-0.11887,-15.089,0.12625
-3.4062,-63.442,51.349,-0.15011,0.13206,14.006
67.371,-17.14,-58.554,0.12601,0.033411,0.030353
-27.888,-45.108,52.677,-0.40984,0.27275,10.182
4.8424,-76.756,66.966,-6.98,-0.12889,0.45514
-20.963,-27.515,74.433,-0.49507,4.6555,0.94072
89.593,-35.973,-24.122,1.4331,1.6932,-0.060914
-31.077,-64.502,72.702,-0.19531,-0.35392,0.46814
-76.692,6.148,60.521,-1.1779,9.5417,-0.24858
-9.384,70.305,-33.511,-0.32885,0.67955,2.2781
-85.877,25.198,15.781,-0.10422,0.67294,-5.6856
-87.976,21.268,10.64,0.043155,-0.50057,-5.8433
2.0121,-0.060481,-0.060549,-17.671,84.759,-53.343
-11.341,69.937,-32.056,-0.56479,0.94638,2.6472
78.978,-61.566,-0.24871,0.18988,1.1047,13.516
75.118,-68.942,2.3789,-0.02791,-0.012624,18.817
57.543,-81.561,13.946,-0.022565,0.083533,-14.235
-38.465,-15.322,77.941,-0.025863,-75.822,0.034534
65.1,-0.87933,-37.234,0.92039,-0.56815,0.50543
60.321,8.1107,-50.509,-0.10879,0.19,-13.75
37.123,36.805,-52.351,-0.32442,0.50104,-8.6318
76.377,-65.396,3.811,-0.025863,-0.008634,76.686
-74.824,11.422,65.654,-0.36007,-0.20165,-0.16798
24.582,-81.928,57.188,0.20225,-0.52251,0.31938
55.115,14.381,-15.236,-0.094829,0,9.2586
62.536,-82.37,21.182,-0.099728,-0.35409,-0.0045786
36.943,-50.765,36.403,-0.29,-8.5559,0.55463
-74.058,16.187,64.443,-0.33034,17.03,0.76075
-1.0026,76.32,-62.374,12.291,0.12947,1.1306
79.087,1.4997,-16.073,-0.15536,0.45742,4.7471
49.584,-36.165,-37.03,8.1928,-0.63202,0.37826
77.779,-23.081,11.545,-0.038074,5.3768,-0.57148
1.8573,-0.059868,-0.060002,-23.734,85.32,-45.882
-55.868,78.245,-5.0187,-0.45275,0.95068,12.692
-20.016,85.7,-19.227,0.064518,0.68888,-6.0057
-27.182,78.381,-51.305,-18.277,0.27247,-0.52031
-15.509,-64.867,80.967,-17.747,0.045275,-0.0068014
-51.265,1.4103,84.716,-0.040483,0.81321,0.84279
-0.056071,-0.060229,2.0267,-61.033,82.005,-11.296
-37.913,-8.8991,87.238,0.89758,11.16,0.069048
85.648,-16.736,-51.569,1.6062,-0.014427,1.9719
-46.662,82.265,-5.8291,1.0098,0.034524,10.418
-36.448,-37.053,51.425,-0.51853,0.32529,8.324
0.033379,-0.0054967,-0.039417,31.858,51.375,-70.426
55.644,-77.647,5.3672,0.50754,-0.99253,-13.372
-43.212,70.775,-39.471,0.24114,0.12223,0.38019
78.505,-35.616,-36.7,0.1388,-0.35396,-18.116
-1.8962,82.508,-58.285,44.301,0.79351,0.84281
-77.365,22.542,30.723,-1.0081,-7.4529,0.51272
-59.707,-9.9561,75.646,-0.12083,-10.133,-0.86306
-92.152,38.627,1.7039,-0.31023,-0.28825,-29.088
67.295,25.245,-26.108,0.50166,0.13975,-4.3474
-57.11,-12.644,50.584,0.25408,-0.38792,12.742
14.024,45.468,-72.639,0.12011,16.226,0.11024
-70.764,-5.6705,69.079,-0.36635,-0.19224,-0.19754
-58.139,-21.832,83.137,0.047382,-17.755,-0.0094517
-1.9515,-63.241,76.272,10.082,-1.2211,-0.22696
-69.439,6.5342,49.849,0.064341,-0.027315,15.192
-78.939,30.261,47.6,-0.24734,17.903,0.49531
-26.166,55.278,44.633,1.8314,-0.007176,-0.21029
33.783,-79.519,40.818,18.209,-0.086728,0.4376
-0.073821,1.6044,-0.071073,79.392,-47.983,-16.657
50.943,-78.669,28.346,0.55378,-0.28143,17.716
84.716,-51.265,1.4103,0.84279,-0.040483,0.81321
-34.737,-6.1028,67.484,1.6616,-0.51794,0.90388
11.546,77.77,-23.108,-0.33888,-0.0070143,3.2202
49.329,34.798,-65.251,0.23063,-0.10039,-4.5445
-26.72,-24.186,75.99,-0.52465,5.3941,0.9196
-66.328,48.265,2.1751,0.11995,14.985,-0.16953
1.2475,-0.070887,-0.059428,-41.354,79.498,-15.816
26.99,-25.052,66.241,-0.39363,3.0993,0.031536
-47.01,-49.571,27.869,-0.10393,-0.22972,0.30722
0.018984,-0.033774,-0.04953,-55.161,31.139,50.802
17.183,53.074,-50.168,0.42727,-0.28122,-12.046
68.114,-71.806,2.9241,-0.23261,-1.1803,10.07
19.49,-75.51,44.358,0.28363,0.061636,16.861
8.7322,21.542,-82.006,-0.28947,6.4203,-0.78019
20.63,16.205,-83.891,0.29346,10.875,1.0184
-0.0026286,-0.011712,0.012985,68.956,8.7427,-77.885
-1.0289,0.034702,0.021839,35.732,-82.876,26.671
-12.359,71.953,-46.826,-0.04763,0.0090749,-16.237
49.889,-60.048,-7.8942,13.617,0.17043,-0.2547
-68.304,72.529,-2.7808,0.038979,0.98666,-8.7977
79.151,-29.45,-48.075,0.23902,-18.458,-0.47103
-50.868,16.819,54.428,-12.142,0.26271,-0.24066
-0.64804,78.26,-61.631,14.265,0.83452,-0.093586
72.772,5.2905,-64.526,0.8425,14.496,-0.45136
74.098,-63.93,-17.138,0.36595,-0.70152,-17.018
