Ua(V),Ub(V),Uc(V), Ia(A), Ib(A),   Ic(A)
-24.401,-54.108,77.889,-11.613,11.234,0.54838
82.551,-29.201,-53.515,0.0082288,0.10146,-0.12721
82.875,-33.714,-49.346,0.010754,0.09427,-0.12785
65.32,-66.739,1.5235,11.798,-0.37221,-11.41
37.825,-83.213,45.547,-0.15488,0.012159,0.12966
-77.607,25.191,52.228,-0.08332,0.0068204,0.056056
-55.619,6.0158,49.83,-4.6282,0.32674,4.2563
-15.882,-61.176,77.048,0.04786,-0.17649,0.11221
61.249,-80.409,19.427,0.15838,0.030602,-0.20825
57.94,24.538,-82.598,-0.041772,-0.078018,0.14997
-36.539,-46.373,83.166,0.058353,-0.22261,0.13832
-37.921,-45.766,83.88,-0.23001,0.050828,0.15313
-27.516,80.958,-53.509,-0.11796,0.0062546,0.10036
81.581,-61.592,-19.661,0.16536,0.047793,-0.23894
-73.538,7.1271,66.636,-0.010765,0.077833,-0.069316
-38.761,60.225,-20.764,-0.1965,-0.0076215,0.11946
8.9246,62.103,-70.373,8.7852,-8.6769,-0.20787
82.592,-36.982,-45.744,-0.0043228,-0.13616,0.12103
-78.923,64.711,14.375,0.037397,0.16465,-0.21563
-59.199,-19.407,78.508,-13.547,13.039,0.62422
24.54,-82.697,57.932,0.15561,-0.13832,-0.01729
-0.011258,70.244,-70.121,-0.041401,0.12999,-0.090695
-19.424,-61.176,80.417,0.12195,-0.13477,0.0044974
-45.443,83.112,-37.839,-0.13661,-0.0039169,0.12452
15.564,-76.114,60.331,0.045386,-0.12319,0.060514
75.039,-64.646,-10.151,0.019323,-0.025596,0.0065878
-60.264,-15.487,75.713,-13.335,12.741,0.67895
-40.612,-42.586,83.108,-0.11084,0.077732,0.017849
-46.188,83.28,-36.773,-0.26367,0.16642,0.075643
-57.503,79.132,-21.485,-0.20292,0.12612,0.055404
72.938,1.1121,-74.259,-0.023773,0.17938,-0.16209
-81.834,24.401,57.678,0.028096,-0.20316,0.15561
-55.619,6.0158,49.83,-4.6282,0.32674,4.2563
-29.201,82.551,-53.515,0.10146,0.0082288,-0.12721
